row_id,doc_idx,doc_id,char_index,char,left_context,right_context,window_text,prev_char,next_char,prev_token,next_token,rule_guess,gold_label,annotator_note,dot_idx_in_doc
d0_p74,0,0,74,.,"də, Tepotodan isə 20 km şimalda yerləşir", Tarixi Atoll 1820-ci ildə Faddey Bellin,"də, Tepotodan isə 20 km şimalda yerləşir. Tarixi Atoll 1820-ci ildə Faddey Bellin",r, ,yerləşir,Tarixi,1,1,,0
d0_p157,0,0,157,.,auzenin ekspedisiyası zamanı kəşf edilir, Əhali 2007-ci il məlumatına görə adada ,auzenin ekspedisiyası zamanı kəşf edilir. Əhali 2007-ci il məlumatına görə adada ,r, ,edilir,Əhali,1,1,,1
d0_p212,0,0,212,., il məlumatına görə adada yaşayış yoxdur, Bununla belə digər adaların sakinləri a, il məlumatına görə adada yaşayış yoxdur. Bununla belə digər adaların sakinləri a,r, ,yoxdur,Bununla,1,1,,2
d0_p281,0,0,281,., sakinləri adanı tez-tez ziyarət edirlər, Kitabda əsas siyahıdan olan insanlarla , sakinləri adanı tez-tez ziyarət edirlər. Kitabda əsas siyahıdan olan insanlarla ,r, ,edirlər,Kitabda,1,1,,3
d0_p375,0,0,375,., mühüm şəxslərin də siyahısı verilmişdir," Bu siyahıda, əsas siyahıdan fərqli olar"," mühüm şəxslərin də siyahısı verilmişdir. Bu siyahıda, əsas siyahıdan fərqli olar",r, ,verilmişdir,Bu,1,1,,4
d0_p485,0,0,485,.,li qısa tərcümeyi-halları da verilmişdir," Xarici keçidlər Hart, Michael H. The 10","li qısa tərcümeyi-halları da verilmişdir. Xarici keçidlər Hart, Michael H. The 10",r, ,verilmişdir,Xarici,1,1,,5
d0_p518,0,0,518,.,"lmişdir. Xarici keçidlər Hart, Michael H", The 100 A Ranking of the Most Influenti,"lmişdir. Xarici keçidlər Hart, Michael H. The 100 A Ranking of the Most Influenti",H, ,H,The,0,0,,6
d0_p580,0,0,580,., the Most Influential Persons in History, Yaradılması ASAN radionun açılması ilə , the Most Influential Persons in History. Yaradılması ASAN radionun açılması ilə ,y, ,History,Yaradılması,1,1,,7
d0_p695,0,0,695,.,rezidenti İlham Əliyev tapşırıq vermişdi, Oktyabr ayında televiziya və radio sahə,rezidenti İlham Əliyev tapşırıq vermişdi. Oktyabr ayında televiziya və radio sahə,i, ,vermişdi,Oktyabr,1,1,,8
d0_p811,0,0,811,.,əvi ASAN Radionun direktoru təyin olundu, Radio ilk olaraq yalnız Bakı və Abşeron,əvi ASAN Radionun direktoru təyin olundu. Radio ilk olaraq yalnız Bakı və Abşeron,u, ,olundu,Radio,1,1,,9
d0_p886,0,0,886,.,bşeron rayonları ərazisində yayımlanırdı,,bşeron rayonları ərazisində yayımlanırdı.,ı,,yayımlanırdı,,1,1,,10
d1_p89,1,1,89,.,q və Koordinasiya Agentliyi iştirak edib, Fəaliyyəti ASAN Radionun yaradılmasında,q və Koordinasiya Agentliyi iştirak edib. Fəaliyyəti ASAN Radionun yaradılmasında,b, ,edib,Fəaliyyəti,1,1,,0
d1_p257,1,1,257,.,rukturlarına etimadın gücləndirilməsidir, Radionun fəaliyyəti Dövlət Agentliyinin,rukturlarına etimadın gücləndirilməsidir. Radionun fəaliyyəti Dövlət Agentliyinin,r, ,gücləndirilməsidir,Radionun,1,1,,1
d1_p354,1,1,354,.,inatı şöbəsi tərəfindən həyata keçirilir, Onun valideynləri bura 19-cu əsrdə Alba,inatı şöbəsi tərəfindən həyata keçirilir. Onun valideynləri bura 19-cu əsrdə Alba,r, ,keçirilir,Onun,1,1,,2
d1_p420,1,1,420,.,9-cu əsrdə Albaniyadan köçüb gəlmişdilər, Atasının ölümündən sonra Tefta 11 yaşın,9-cu əsrdə Albaniyadan köçüb gəlmişdilər. Atasının ölümündən sonra Tefta 11 yaşın,r, ,gəlmişdilər,Atasının,1,1,,3
d1_p516,1,1,516,.,si yenidən vətənə-Korça şəhərinə qayıdır, Bu dəfə isə onlar Fransanın Monpelye şə,si yenidən vətənə-Korça şəhərinə qayıdır. Bu dəfə isə onlar Fransanın Monpelye şə,r, ,qayıdır,Bu,1,1,,4
d1_p585,1,1,585,., Monpelye şəhərində yaşamağa başlayırlar," Hələ təhsil aldığı müddətdə Tefta, artı"," Monpelye şəhərində yaşamağa başlayırlar. Hələ təhsil aldığı müddətdə Tefta, artı",r, ,başlayırlar,Hələ,1,1,,5
d1_p661,1,1,661,., artıq müəllimlərinin diqqətini çəkmişdi, Ailənin çətin vəziyyətdə olmasına baxma, artıq müəllimlərinin diqqətini çəkmişdi. Ailənin çətin vəziyyətdə olmasına baxma,i, ,çəkmişdi,Ailənin,1,1,,6
d1_p791,1,1,791,., Milli Konservatoriyasında təqaüd alırdı, Burada o Jana Sere və Leo Bermandi kimi, Milli Konservatoriyasında təqaüd alırdı. Burada o Jana Sere və Leo Bermandi kimi,ı, ,alırdı,Burada,1,1,,7
d1_p862,1,1,862,.,mandi kimi pedaqoqlardan təhsil almışdır, Müğənnini konsertlərdə əvvəllər pianoçu,mandi kimi pedaqoqlardan təhsil almışdır. Müğənnini konsertlərdə əvvəllər pianoçu,r, ,almışdır,Müğənnini,1,1,,8
d1_p959,1,1,959,.,sonralar isə Lola Aleksi müşayiət edirdi,,sonralar isə Lola Aleksi müşayiət edirdi.,i,,edirdi,,1,1,,9
d2_p78,2,2,78,.,f regionlarına xas musiqilər yer tuturdu, Bu zaman Tefta həm də İtaliyanın opera ,f regionlarına xas musiqilər yer tuturdu. Bu zaman Tefta həm də İtaliyanın opera ,u, ,tuturdu,Bu,1,1,,0
d2_p145,2,2,145,.,liyanın opera tamaşalarında çıxış edirdi," O, bu zaman radio-proqramlarda da fəali","liyanın opera tamaşalarında çıxış edirdi. O, bu zaman radio-proqramlarda da fəali",i, ,edirdi,O,1,1,,1
d2_p210,2,2,210,.,amlarda da fəaliyyət göstərməyə başlayır, Bu problemlər özünü oğlu dünyaya gəldik,amlarda da fəaliyyət göstərməyə başlayır. Bu problemlər özünü oğlu dünyaya gəldik,r, ,başlayır,Bu,1,1,,2
